timestamp, remote_beacon_id, position_flt_error, yaw, pitch, roll, local_depth, VOS, RSSI, usbl_rssi[0], usbl_rssi[1], usbl_rssi[2], usbl_rssi[3], range_time, range_dist, azimuth, elevation, fit_error, easting, northing, remote_depth
1731178752636108837, 4, 0, 2492, -6, -1797, 1, 14256, 1275, 1379, 1434, 0, 0, 460000, 327, 895, 33, 51, 113, -307, 0
1731178754484822172, 5, 0, 2790, -2, -1799, 1, 14257, 1233, 1340, 1360, 0, 0, 698750, 498, 305, 80, 80, -463, -182, 0
1731178769692662368, 5, 0, 3554, 37, -1765, 1, 14255, 1171, 1299, 1373, 0, 0, 704999, 502, 1111, -22, 24, -451, -220, 0
1731178775389568004, 4, 0, 2393, 3, -1798, 1, 14255, 1239, 1256, 1379, 0, 0, 471249, 335, 572, -48, 156, -12, -335, 10
1731178777247341600, 5, 0, 2200, 2, 1796, 1, 14255, 1200, 1374, 1341, 0, 0, 714375, 509, 3397, 28, 76, -441, -252, 0
1731178782940302374, 4, 0, 1931, 3, 1798, 1, 14255, 1272, 1442, 1417, 0, 0, 469375, 334, 3582, 5, 16, -85, -323, 10
1731178784797584288, 5, 0, 2031, 43, 1762, 1, 14256, 1202, 1371, 1356, 0, 0, 729375, 519, 3015, 22, 94, -514, -75, 0
1731178790493077393, 4, 0, 2535, 0, -1795, 1, 14256, 1123, 1348, 1391, 0, 0, 460624, 328, 513, -47, 108, -124, -303, 10
1731178803121402935, 3, 0, 2723, -7, -1795, 1, 14256, 1095, 1146, 1117, 0, 0, 1632500, 1163, 3288, 27, 48, -970, 641, 0
1731178806900780750, 5, 0, 3128, 3, 1799, 1, 14257, 925, 991, 1049, 0, 0, 671875, 478, 743, -76, 38, -408, -250, 0
1731178812598338227, 4, 0, 3138, 4, 1797, 1, 14256, 1143, 1239, 1276, 0, 0, 412499, 294, 1370, -164, 641, 16, -293, 10
1731178814442295537, 5, 1, 3132, 3, 1796, 1, 14257, 1166, 1304, 1301, 0, 0, 661875, 471, 460, -21, 97, -471, -22, 0
1731178820136729433, 4, 0, 2880, 1, 1796, 1, 14258, 1287, 1409, 1482, 0, 0, 393750, 280, 1079, -58, 52, 0, -280, 10
1731178821985140983, 5, 0, 2888, 2, 1796, 1, 14258, 1195, 1337, 1323, 0, 0, 663124, 472, 227, -43, 43, -471, -31, 0
1731178827677092624, 4, 0, 3175, 3, 1798, 1, 14258, 1272, 1413, 1492, 0, 0, 392499, 279, 1293, -36, 24, -39, -276, 10
1731178829517003388, 5, 0, 3188, 10, 1786, 1, 14258, 1212, 1319, 1364, 0, 0, 667499, 475, 751, -30, 156, -426, -210, 0
1731178833392369427, 3, 0, 3465, -5, 1797, 1, 14258, 1101, 1211, 1187, 0, 0, 1643124, 1171, 169, -44, 34, -591, 1011, 0
1731178835219040910, 4, 0, 3540, -3, 1795, 1, 14258, 1232, 1352, 1423, 0, 0, 424375, 302, 1634, -41, 138, -55, -297, 10
1731178837061959706, 5, 0, 3546, 0, 1798, 1, 14258, 1173, 1291, 1369, 0, 0, 667499, 475, 1118, -20, 30, -423, -217, 0
1731178840937115416, 3, 0, 139, 2, 1797, 1, 14258, 1132, 1191, 1196, 0, 0, 1634999, 1165, 501, -28, 106, -688, 940, 0
1731178842761400657, 4, 0, 241, 3, 1796, 1, 14259, 1228, 1370, 1405, 0, 0, 422499, 301, 2183, -38, 39, 74, -291, 10
1731178844613400371, 5, 0, 253, 2, 1798, 1, 14258, 1176, 1318, 1383, 0, 0, 666875, 475, 1315, -29, 27, -456, -132, 0
1731178848488157171, 3, 0, 548, 2, 1799, 1, 14259, 1100, 1145, 1201, 0, 0, 1638124, 1167, 932, -9, 53, -724, 916, 0
