timestamp, cst_code, remote_beacon_id
1731178750813534430, 52, 3
1731178756419855328, 52, 2
1731178764075263901, 52, 2
1731178766010353358, 52, 3
1731178779182379617, 52, 2
1731178781117421175, 52, 3
1731178786732278460, 52, 2
1731178788667498576, 52, 3
1731178792428426230, 52, 5
1731178794362975972, 52, 2
1731178796298313661, 52, 3
1731178797305786162, 53, 4
1731178799240926315, 52, 5
1731178801175359441, 52, 2
1731178805056409438, 52, 4
1731178808835650865, 52, 2
1731178810770316959, 52, 3
1731178816377770062, 52, 2
1731178818312806532, 52, 3
1731178823920569052, 52, 2
1731178825855480253, 52, 3
1731178831452231990, 52, 2
1731178838997368951, 52, 2
1731178846548105986, 52, 2
1731178854090278064, 52, 2
1731178861651329178, 52, 2
1731178869214863749, 52, 2
1731178876765512019, 52, 2
1731178877901515861, 53, 3
1731178879836202856, 52, 4
1731178883613017985, 52, 2
1731178885547957109, 52, 3
1731178891154001440, 52, 2
1731178893088905251, 52, 3
1731178898696225273, 52, 2
1731178906261345398, 52, 2
1731178913818973618, 52, 2
1731178915513662512, 53, 3
1731178917448840240, 52, 4
1731178919383970405, 52, 5
1731178921318596812, 52, 2
1731178923253797728, 52, 3
1731178925188660708, 52, 4
1731178928983396632, 52, 2
1731178932865681418, 52, 4
1731178934800642898, 52, 5
1731178936735099491, 52, 2
1731178938670269454, 52, 3
1731178944311629054, 52, 2
1731178946246264457, 52, 3
1731178951884396035, 52, 2
1731178953818943251, 52, 3
1731178959462300944, 52, 2
1731178961397298175, 52, 3
1731178967049212709, 52, 2
1731178968983923118, 52, 3
1731178974628071094, 52, 2
1731178976562666908, 52, 3
1731178982186330431, 52, 2
1731178989721587704, 52, 2
1731178997238672100, 52, 2
1731178998374080327, 53, 3
1731179000309448987, 52, 4
1731179004056209349, 52, 2
1731179007935947363, 52, 4
1731179011681405890, 52, 2
1731179015562683986, 52, 4
1731179019316725597, 52, 2
1731179023192175384, 52, 4
1731179026951076517, 52, 2
1731179028086237738, 53, 3
1731179030021024129, 52, 4
1731179033777157942, 52, 2
1731179034896803510, 53, 3
1731179036831232484, 52, 4
1731179040593413368, 52, 2
1731179044452657320, 52, 4
1731179048212436182, 52, 2
1731179052082279723, 52, 4
1731179055844054183, 52, 2
